Isolate ID , Isolate name ,Location, Collection date , Segment  , Segment number , Type , Lineage , Passage details/history , Submitter , Sample ID by sample provider , Sample ID by submitting lab , Last modified , Originating lab , Submitting lab , Identifier , DNA Accession no. , DNA INSDC
EPI_ISL_285899,A/Zhejiang-Nanhu/1679/2017,China,8/21/17,HA,4,A/H3N2,,C2+S1,ZengXiaoxu,,,1/12/18,WHOChineseNationalInfluenzaCenter,WHOChineseNationalInfluenzaCenter,2017-CX2021.4,1106238,
EPI_ISL_290627,A/Zhejiang-Nanhu/1745/2017,China,9/11/17,HA,4,A/H3N2,,C2+S1,ZengXiaoxu,,,1/8/18,WHOChineseNationalInfluenzaCenter,WHOChineseNationalInfluenzaCenter,2017-CX2128.4,1136293,
EPI_ISL_303154,A/Zhejiang-Nanhu/1745/2017,China,9/11/17,HA,4,A/H3N2,,C2S1,DaSilvaJuliana,A/ZHEJIANG-NANHU/1745/2017,3000820917,3/13/18,WHOChineseNationalInfluenzaCenter,CentersforDiseaseControlandPrevention,3000820917_N8K9F5ZP_v1_4,1197710,
EPI_ISL_309767,A/Zhejiang-Nanhu/11001/2017,China,12/7/17,HA,4,A/H3N2,,,SunYi,,,5/9/18,,ZhejiangProvincialCenterforDiseaseControlandPrevention,31HA,1229573,
EPI_ISL_309764,A/Zhejiang-Shangcheng/1812/2017,China,10/9/17,HA,4,A/H3N2,,,SunYi,,,5/9/18,,ZhejiangProvincialCenterforDiseaseControlandPrevention,25HA,1229549,
EPI_ISL_309768,A/Zhejiang-Wuxing/11032/2017,China,12/26/17,HA,4,A/H3N2,,,SunYi,,,5/9/18,,ZhejiangProvincialCenterforDiseaseControlandPrevention,32HA,1229581,
EPI_ISL_309765,A/Zhejiang-Xihu/35/2017,China,12/4/17,HA,4,A/H3N2,,,SunYi,,,5/9/18,,ZhejiangProvincialCenterforDiseaseControlandPrevention,29HA,1229557,
EPI_ISL_309766,A/Zhejiang-Yongkang/1978/2017,China,12/3/17,HA,4,A/H3N2,,,SunYi,,,5/9/18,,ZhejiangProvincialCenterforDiseaseControlandPrevention,30HA,1229565,
EPI_ISL_248423,A/Georgia/10/2017,Georgia,1/3/17,HA,4,A/H3N2,,SIAT1,ErmetalBurcu,,,2/14/17,NationalCentreforDiseaseControlandPublicHealth,CrickWorldwideInfluenzaCentre,MS-a-georgia-10-2017h3J,913739,
EPI_ISL_259537,A/Georgia/9/2017,Georgia,1/3/17,HA,4,A/H3N2,,cs-ori,ErmetalBurcu,,,4/27/17,NationalCentreforDiseaseControlandPublicHealth,CrickWorldwideInfluenzaCentre,MS-a-georgia-9-2017h3J,978631,
EPI_ISL_248426,A/Georgia/23/2017,Georgia,1/6/17,HA,4,A/H3N2,,SIAT1,ErmetalBurcu,,,2/14/17,NationalCentreforDiseaseControlandPublicHealth,CrickWorldwideInfluenzaCentre,MS-a-georgia-23-2017h3J,913745,
EPI_ISL_253184,A/Georgia/169/2017,Georgia,2/2/17,HA,4,A/H3N2,,clinicalsample,MachablishviliAnn,A/Georgia/169/2017,A/Georgia/169/2017,8/10/17,"NationalCenterforDiseaseControlandPublicHealth,Georgia","NationalCenterforDiseaseControlandPublicHealth,Georgia",A/Georgia/169/2017,943379,
EPI_ISL_253828,A/Georgia/168/2017,Georgia,2/2/17,HA,4,A/H3N2,,clinicalsample,MachablishviliAnn,A/Georgia/168/2017,A/Georgia/168/2017,3/9/17,,"NationalCenterforDiseaseControlandPublicHealth,Georgia",A/Georgia/168/2017,945615,
EPI_ISL_273232,A/Georgia/207/2017,Georgia,2/10/17,HA,4,A/H3N2,,SIAT1,ErmetalBurcu,,,8/1/17,NationalCentreforDiseaseControlandPublicHealth,CrickWorldwideInfluenzaCentre,MS-a-georgia-207-2017h3F,1036311,
EPI_ISL_260520,A/Georgia/238/2017,Georgia,2/15/17,HA,4,A/H3N2,,clinicalsample,MachablishviliAnn,A/Georgia/238/2017,A/Georgia/238/2017,5/4/17,"NationalCenterforDiseaseControlandPublicHealth,Georgia","NationalCenterforDiseaseControlandPublicHealth,Georgia",A/Georgia/238/2017,984999,
EPI_ISL_255997,A/Georgia/278/2017,Georgia,2/22/17,HA,4,A/H3N2,,clinicalsample,MachablishviliAnn,A/Georgia/278/2017,A/Georgia/278/2017,5/4/17,"NationalCenterforDiseaseControlandPublicHealth,Georgia","NationalCenterforDiseaseControlandPublicHealth,Georgia",A/Georgia/278/2017,960022,
EPI_ISL_273857,A/Georgia/714/2017,Georgia,7/21/17,HA,4,A/H3N2,,clinicalsample,MachablishviliAnn,A/Georgia/714/2017,A/Georgia/714/2017,8/10/17,"NationalCenterforDiseaseControlandPublicHealth,Georgia","NationalCenterforDiseaseControlandPublicHealth,Georgia",A/Georgia/714/2017,1040257,
EPI_ISL_249035,A/HongKong/110/2017,HongKong,1/2/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/HONGKONG/110/2017ORIGINAL,3000482465,2/17/17,GovernmentVirusUnit,CentersforDiseaseControlandPrevention,3000482465_N8K8HHEK_v1_4,918252,
EPI_ISL_249036,A/HongKong/121/2017,HongKong,1/3/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/HONGKONG/121/2017ORIGINAL,3000482466,2/17/17,GovernmentVirusUnit,CentersforDiseaseControlandPrevention,3000482466_N8K8HHEP_v1_4,918260,
EPI_ISL_259137,A/HongKong/121/2017,HongKong,1/3/17,HA,4,A/H3N2,,S1,GartenKondorRebecca,A/HONGKONG/121/2017ORIGINAL,3000482466,4/25/17,GovernmentVirusUnit,CentersforDiseaseControlandPrevention,3000482466_000J351L_v1_4,976357,
EPI_ISL_249037,A/HongKong/122/2017,HongKong,1/4/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/HONGKONG/122/2017ORIGINAL,3000482467,2/17/17,GovernmentVirusUnit,CentersforDiseaseControlandPrevention,3000482467_N8K8HHEU_v1_4,918268,
EPI_ISL_249038,A/HongKong/123/2017,HongKong,1/4/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/HONGKONG/123/2017ORIGINAL,3000482468,2/17/17,GovernmentVirusUnit,CentersforDiseaseControlandPrevention,3000482468_N8K8HHEZ_v1_4,918276,
EPI_ISL_253104,A/HongKong/119/2017,HongKong,1/4/17,HA,4,A/H3N2,,MDCK1/S1,ErmetalBurcu,,,3/3/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-119-2017h3J,943224,
EPI_ISL_253105,A/HongKong/120/2017,HongKong,1/4/17,HA,4,A/H3N2,,MDCK1/S1,ErmetalBurcu,,,3/3/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-120-2017h3J,943226,
EPI_ISL_253106,A/HongKong/240/2017,HongKong,1/7/17,HA,4,A/H3N2,,MDCK1/S1,ErmetalBurcu,,,3/3/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-240-2017h3J,943228,
EPI_ISL_249040,A/HongKong/237/2017,HongKong,1/8/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/HONGKONG/237/2017ORIGINAL,3000482470,2/17/17,GovernmentVirusUnit,CentersforDiseaseControlandPrevention,3000482470_N8K8HHF9_v1_4,918292,
EPI_ISL_249041,A/HongKong/247/2017,HongKong,1/8/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/HONGKONG/247/2017ORIGINAL,3000482471,2/17/17,GovernmentVirusUnit,CentersforDiseaseControlandPrevention,3000482471_N8K8HHFE_v1_4,918300,
EPI_ISL_256133,A/HongKong/235/2017,HongKong,1/8/17,HA,4,A/H3N2,,C1/S1,GartenKondorRebecca,A/HONGKONG/235/2017,3000482484,3/20/17,GovernmentVirusUnit,CentersforDiseaseControlandPrevention,3000482484_000J35JP_v1_4,960548,
EPI_ISL_259138,A/HongKong/247/2017,HongKong,1/8/17,HA,4,A/H3N2,,S1,GartenKondorRebecca,A/HONGKONG/247/2017ORIGINAL,3000482471,4/25/17,GovernmentVirusUnit,CentersforDiseaseControlandPrevention,3000482471_000J351T_v1_4,976365,
EPI_ISL_268996,A/HongKong/2229/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2229-2017h3Y,1021154,
EPI_ISL_268997,A/HongKong/2230/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2230-2017h3Y,1021156,
EPI_ISL_268998,A/HongKong/2255/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2255-2017h3Y,1021158,
EPI_ISL_268999,A/HongKong/2256/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2256-2017h3Y,1021160,
EPI_ISL_269000,A/HongKong/2257/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2257-2017h3Y,1021162,
EPI_ISL_269001,A/HongKong/2258/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2258-2017h3Y,1021164,
EPI_ISL_269002,A/HongKong/2259/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2259-2017h3Y,1021166,
EPI_ISL_269003,A/HongKong/2260/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2260-2017h3Y,1021168,
EPI_ISL_269004,A/HongKong/2262/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2262-2017h3Y,1021170,
EPI_ISL_269005,A/HongKong/2263/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2263-2017h3Y,1021172,
EPI_ISL_269008,A/HongKong/2267/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2267-2017h3Y,1021178,
EPI_ISL_269016,A/HongKong/2276/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2276-2017h3Y,1021194,
EPI_ISL_269017,A/HongKong/2277/2017,HongKong,5/19/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2277-2017h3Y,1021196,
EPI_ISL_274780,A/HongKong/2277/2017,HongKong,5/19/17,HA,4,A/H3N2,,SIAT1,ErmetalBurcu,,,8/17/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hk-2277-2017h3Y,1044135,
EPI_ISL_277419,A/HongKong/2227/2017,HongKong,5/19/17,HA,4,A/H3N2,,Cx/SIAT1,GregoryVicki,,,9/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2227-2017CxS1h3Y,1057688,
EPI_ISL_277420,A/HongKong/2261/2017,HongKong,5/19/17,HA,4,A/H3N2,,Cx/SIAT1,GregoryVicki,,,9/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2261-2017CxS1h3Y,1057690,
EPI_ISL_280261,A/HongKong/2256/2017,HongKong,5/19/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2256-2017CxS1h3Y,1073790,
EPI_ISL_280262,A/HongKong/2260/2017,HongKong,5/19/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2260-2017CxS1h3Y,1073792,
EPI_ISL_280263,A/HongKong/2263/2017,HongKong,5/19/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2263-2017CxS1h3Y,1073794,
EPI_ISL_280265,A/HongKong/2267/2017,HongKong,5/19/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2267-2017CxS1h3Y,1073798,
EPI_ISL_280270,A/HongKong/2277/2017,HongKong,5/19/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2277-2017CxS1h3Y,1073808,
EPI_ISL_280317,A/HongKong/2230/2017,HongKong,5/19/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2230-2017CxS1h3Y,1073902,
EPI_ISL_289024,A/HongKong/2277/2017,HongKong,5/19/17,HA,4,A/H3N2,,Eggcln11-10,GregoryVicki,,,8/17/18,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,a-hong_kong-cl11-10-2277-2017h3,1126364,
EPI_ISL_268994,A/HongKong/2226/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2226-2017h3Y,1021150,
EPI_ISL_268995,A/HongKong/2228/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2228-2017h3Y,1021152,
EPI_ISL_269006,A/HongKong/2265/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2265-2017h3Y,1021174,
EPI_ISL_269007,A/HongKong/2266/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2266-2017h3Y,1021176,
EPI_ISL_269009,A/HongKong/2269/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2269-2017h3Y,1021180,
EPI_ISL_269010,A/HongKong/2270/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2270-2017h3Y,1021182,
EPI_ISL_269012,A/HongKong/2272/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2272-2017h3Y,1021186,
EPI_ISL_269014,A/HongKong/2274/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2274-2017h3Y,1021190,
EPI_ISL_269015,A/HongKong/2275/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2275-2017h3Y,1021192,
EPI_ISL_269019,A/HongKong/2280/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2280-2017h3Y,1021200,
EPI_ISL_269020,A/HongKong/2281/2017,HongKong,5/20/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2281-2017h3Y,1021202,
EPI_ISL_274779,A/HongKong/2274/2017,HongKong,5/20/17,HA,4,A/H3N2,,SIAT1,ErmetalBurcu,,,8/17/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hk-2274-2017h3Y,1044133,
EPI_ISL_280264,A/HongKong/2266/2017,HongKong,5/20/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2266-2017CxS1h3Y,1073796,
EPI_ISL_280267,A/HongKong/2272/2017,HongKong,5/20/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2272-2017CxS1h3Y,1073802,
EPI_ISL_280269,A/HongKong/2274/2017,HongKong,5/20/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2274-2017CxS1h3Y,1073806,
EPI_ISL_280272,A/HongKong/2280/2017,HongKong,5/20/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2280-2017CxS1h3Y,1073812,
EPI_ISL_269011,A/HongKong/2271/2017,HongKong,5/21/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2271-2017h3Y,1021184,
EPI_ISL_269013,A/HongKong/2273/2017,HongKong,5/21/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2273-2017h3Y,1021188,
EPI_ISL_269018,A/HongKong/2279/2017,HongKong,5/21/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2279-2017h3Y,1021198,
EPI_ISL_274781,A/HongKong/2279/2017,HongKong,5/21/17,HA,4,A/H3N2,,SIAT1,ErmetalBurcu,,,8/17/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hk-2279-2017h3Y,1044137,
EPI_ISL_280266,A/HongKong/2271/2017,HongKong,5/21/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2271-2017CxS1h3Y,1073800,
EPI_ISL_280268,A/HongKong/2273/2017,HongKong,5/21/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2273-2017CxS1h3Y,1073804,
EPI_ISL_280271,A/HongKong/2279/2017,HongKong,5/21/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2279-2017CxS1h3Y,1073810,
EPI_ISL_269030,A/HongKong/2292/2017,HongKong,5/22/17,HA,4,A/H3N2,,CS,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hk-2292-2017h3Y,1021222,
EPI_ISL_269021,A/HongKong/2283/2017,HongKong,5/23/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2283-2017h3Y,1021204,
EPI_ISL_269022,A/HongKong/2284/2017,HongKong,5/23/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2284-2017h3Y,1021206,
EPI_ISL_269023,A/HongKong/2285/2017,HongKong,5/23/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2285-2017h3Y,1021208,
EPI_ISL_269024,A/HongKong/2286/2017,HongKong,5/23/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2286-2017h3Y,1021210,
EPI_ISL_269026,A/HongKong/2288/2017,HongKong,5/23/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2288-2017h3Y,1021214,
EPI_ISL_269027,A/HongKong/2289/2017,HongKong,5/23/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2289-2017h3Y,1021216,
EPI_ISL_269028,A/HongKong/2290/2017,HongKong,5/23/17,HA,4,A/H3N2,,CS,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hk-2290-2017h3Y,1021218,
EPI_ISL_269029,A/HongKong/2291/2017,HongKong,5/23/17,HA,4,A/H3N2,,CS,GregoryVicki,,,8/11/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hk-2291-2017h3Y,1021220,
EPI_ISL_269031,A/HongKong/2293/2017,HongKong,5/23/17,HA,4,A/H3N2,,CS,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hk-2293-2017h3Y,1021224,
EPI_ISL_274782,A/HongKong/2285/2017,HongKong,5/23/17,HA,4,A/H3N2,,SIAT1,ErmetalBurcu,,,8/17/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hk-2285-2017h3Y,1044139,
EPI_ISL_274783,A/HongKong/2286/2017,HongKong,5/23/17,HA,4,A/H3N2,,SIAT1,ErmetalBurcu,,,8/17/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hk-2286-2017h3Y,1044141,
EPI_ISL_274784,A/HongKong/2291/2017,HongKong,5/23/17,HA,4,A/H3N2,,SIAT1,ErmetalBurcu,,,8/17/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hk-2291-2017h3Y,1044143,
EPI_ISL_280273,A/HongKong/2283/2017,HongKong,5/23/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2283-2017CxS1h3Y,1073814,
EPI_ISL_280274,A/HongKong/2284/2017,HongKong,5/23/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2284-2017CxS1h3Y,1073816,
EPI_ISL_280275,A/HongKong/2285/2017,HongKong,5/23/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2285-2017CxS1h3Y,1073818,
EPI_ISL_280276,A/HongKong/2286/2017,HongKong,5/23/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2286-2017CxS1h3Y,1073820,
EPI_ISL_280277,A/HongKong/2288/2017,HongKong,5/23/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2288-2017CxS1h3Y,1073822,
EPI_ISL_280278,A/HongKong/2291/2017,HongKong,5/23/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_k-2291-2017CxS1h3Y,1073824,
EPI_ISL_289025,A/HongKong/2286/2017,HongKong,5/23/17,HA,4,A/H3N2,,Eggcln23-74,GregoryVicki,,,12/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,A-HK-cl-23-74-2286-17H3,1126366,
EPI_ISL_269025,A/HongKong/2287/2017,HongKong,5/24/17,HA,4,A/H3N2,,cs,GregoryVicki,,,7/7/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2287-2017h3Y,1021212,
EPI_ISL_278066,A/HongKong/2473/2017,HongKong,6/4/17,HA,4,A/H3N2,,cs,ErmetalBurcu,,,10/16/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2473-2017csh3U,1060834,
EPI_ISL_280279,A/HongKong/2473/2017,HongKong,6/4/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,9/21/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-2473-2017h3U,1073826,
EPI_ISL_273233,A/HongKong/3042/2017,HongKong,6/27/17,HA,4,A/H3N2,,cs,ErmetalBurcu,,,10/16/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-3042-2017csh3U,1036313,
EPI_ISL_273234,A/HongKong/3044/2017,HongKong,6/27/17,HA,4,A/H3N2,,cs,ErmetalBurcu,,,10/16/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-3044-2017csh3U,1036315,
EPI_ISL_273237,A/HongKong/3051/2017,HongKong,6/27/17,HA,4,A/H3N2,,cs,ErmetalBurcu,,,10/16/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-3051-2017csh3U,1036321,
EPI_ISL_273239,A/HongKong/3053/2017,HongKong,6/27/17,HA,4,A/H3N2,,cs,ErmetalBurcu,,,10/16/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-3053-2017csh3U,1036325,
EPI_ISL_273240,A/HongKong/3054/2017,HongKong,6/27/17,HA,4,A/H3N2,,cs,ErmetalBurcu,,,10/16/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-3054-2017csh3U,1036327,
EPI_ISL_278067,A/HongKong/3042/2017,HongKong,6/27/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,10/16/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-3042-2017h3U,1060836,
EPI_ISL_278069,A/HongKong/3044/2017,HongKong,6/27/17,HA,4,A/H3N2,,Cx/SIAT1,ErmetalBurcu,,,10/16/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-3044-2017h3U,1060840,
EPI_ISL_273238,A/HongKong/3052/2017,HongKong,6/28/17,HA,4,A/H3N2,,cs,ErmetalBurcu,,,10/16/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-3052-2017csh3U,1036323,
EPI_ISL_273241,A/HongKong/3055/2017,HongKong,6/28/17,HA,4,A/H3N2,,cs,ErmetalBurcu,,,10/16/17,GovernmentVirusUnit,CrickWorldwideInfluenzaCentre,MS-a-hong_kong-3055-2017csh3U,1036329,
